fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
2003591,9209,NDB #,Foundation,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",0.0,100.0,g,"100 g",0.0
2003600,11950,NDB #,Foundation,"Mushroom, enoki",0.0,100.0,g,"100 g",0.0
2003601,11266,NDB #,Foundation,"Mushroom, crimini",0.0,100.0,g,"100 g",0.0
2003592,9130,NDB #,Foundation,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",0.0,100.0,g,"100 g",0.0
2003595,100267,NDB #,Foundation,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",0.0,100.0,g,"100 g",0.0
2003602,11993,NDB #,Foundation,"Mushroom, maitake",0.0,100.0,g,"100 g",0.0
2003598,11243,NDB #,Foundation,"Mushroom, portabella",0.0,100.0,g,"100 g",0.0
2003604,100265,NDB #,Foundation,"Mushroom, pioppini",0.0,100.0,g,"100 g",0.0
2003594,43382,NDB #,Foundation,"Cranberry juice, not fortified, from concentrate, shelf stable",0.0,100.0,g,"100 g",0.0
2003589,100270,NDB #,Foundation,"Flour, semolina, fine",0.0,100.0,g,"100 g",0.0
2003588,100269,NDB #,Foundation,"Flour, semolina, coarse and semi-coarse",0.0,100.0,g,"100 g",0.0
2003596,11540,NDB #,Foundation,"Tomato juice, with added ingredients, from concentrate, shelf stable",0.0,100.0,g,"100 g",0.0
2003586,100268,NDB #,Foundation,"Flour, 00",0.0,100.0,g,"100 g",0.0
2003597,9206,NDB #,Foundation,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",0.0,100.0,g,"100 g",0.0
2003593,100266,NDB #,Foundation,"Grape juice, white, with added vitamin C, from concentrate, shelf stable",0.0,100.0,g,"100 g",0.0
2003603,100264,NDB #,Foundation,"Mushroom, beech",0.0,100.0,g,"100 g",0.0
2003587,20140,NDB #,Foundation,"Flour, spelt, whole grain",0.0,100.0,g,"100 g",0.0
2003590,9400,NDB #,Foundation,"Apple juice, with added vitamin C, from concentrate, shelf stable",0.0,100.0,g,"100 g",0.0
2003599,100263,NDB #,Foundation,"Mushroom, king oyster",0.0,100.0,g,"100 g",0.0
1999628,11238,NDB #,Foundation,"Mushrooms, shiitake",0.0,100.0,g,"100 g",0.0
1999627,11987,NDB #,Foundation,"Mushroom, oyster",0.0,100.0,g,"100 g",0.0
1999626,100259,NDB #,Foundation,"Mushroom, lion's mane",0.0,100.0,g,"100 g",0.0
1999634,100261,NDB #,Foundation,"Tomato, roma",0.0,100.0,g,"100 g",0.0
1999632,100260,NDB #,Foundation,"Spinach, baby",0.0,100.0,g,"100 g",0.0
1999629,11260,NDB #,Foundation,"Mushrooms, white button",0.0,100.0,g,"100 g",0.0
1999633,11457,NDB #,Foundation,"Spinach, mature",0.0,100.0,g,"100 g",0.0
1999631,14091,NDB #,Foundation,"Almond milk, unsweetened, plain, shelf stable",0.0,100.0,g,"100 g",0.0
1999630,16222,NDB #,Foundation,"Soy milk, unsweetened, plain, shelf stable",0.0,100.0,g,"100 g",0.0
1750343,9501,NDB #,Foundation,"Apples, honeycrisp, with skin, raw",0.0,100.0,g,"100 g",0.0
1750341,9503,NDB #,Foundation,"Apples, gala, with skin, raw",0.0,100.0,g,"100 g",0.0
1750340,9504,NDB #,Foundation,"Apples, fuji, with skin, raw",0.0,100.0,g,"100 g",0.0
1750339,9500,NDB #,Foundation,"Apples, red delicious, with skin, raw",0.0,100.0,g,"100 g",0.0
1750342,9502,NDB #,Foundation,"Apples, granny smith, with skin, raw",0.0,100.0,g,"100 g",0.0
1105314,9040,NDB #,Foundation,"Bananas, ripe and slightly ripe, raw",5.0,115.0,g,"1 Banana, Peeled",5.75
1104962,100255,NDB #,Foundation,"Onions, white, raw",21.0,100.0,g,"100 g",21.0
1104812,20090,NDB #,Foundation,"Flour, rice, brown",9.0,100.0,g,"100 g",9.0
1104913,100256,NDB #,Foundation,"Flour, pastry, unenriched, unbleached",17.0,100.0,g,"100 g",17.0
1104705,16117,NDB #,Foundation,"Flour, soy, defatted",338.0,100.0,g,"100 g",338.0
1104766,16115,NDB #,Foundation,"Flour, soy, full-fat",258.0,100.0,g,"100 g",258.0
790646,100253,NDB #,Foundation,"Onions, yellow, raw",15.0,143.0,g,"1 Onion, Edible",21.4
790508,1001,NDB #,Foundation,"Butter, stick, salted",21.0,100.0,g,"100 g",21.0
790577,100252,NDB #,Foundation,"Onions, red, raw",17.0,197.0,g,"1 Onion, Edible",33.5
790276,100251,NDB #,Foundation,"Flour, corn, yellow, fine meal, enriched",0.0,100.0,g,"100 g",0.0
790214,20061,NDB #,Foundation,"Flour, rice, white, unenriched",6.0,100.0,g,"100 g",6.0
790146,20083,NDB #,Foundation,"Flour, bread, white, enriched, unbleached",19.0,100.0,g,"100 g",19.0
789951,20581,NDB #,Foundation,"Flour, wheat, all-purpose, enriched, unbleached",21.0,100.0,g,"100 g",21.0
